code,name,流通市值,市盈率,昨收,昨高,昨低,涨停次数,连板次数,industry,industry_sub,可能退市,营业收入,净利润,融资融券,zhuan,债券代码
601118,海南橡胶,25762155338.0,-43.45,5.64,5.81,5.61,2.0,0.0,种植业与林业,种植业与林业,0,376.872505621,111187767.84,1.0,,
000713,丰乐种业,3966536771.0,-88.77,6.18,6.27,6.11,1.0,0.0,种植业与林业,种植业与林业,0,31.1367918158,54884685.16,0.0,,
600354,敦煌种业,2850131232.0,45.39,5.28,5.31,5.18,3.0,0.0,种植业与林业,种植业与林业,0,11.5776241727,97624654.53,1.0,,
002556,辉隆股份,4994728977.0,14.44,5.13,5.19,5.09,5.0,2.0,种植业与林业,种植业与林业,0,178.3265673938,498883128.73,0.0,,
600313,农发种业,6752919657.0,61.13,5.96,6.03,5.87,1.0,0.0,种植业与林业,种植业与林业,0,67.6077275371,306908932.14,1.0,,
600598,北大荒,25651921087.0,13.04,14.43,15.01,14.29,0.0,0.0,种植业与林业,种植业与林业,0,50.444433832,1084335750.94,1.0,,
600359,新农开发,2483648458.0,23.19,6.54,6.69,6.43,0.0,0.0,种植业与林业,种植业与林业,0,5.4847052813,68600206.02,1.0,,
600108,亚盛集团,5295609129.0,90.39,2.68,2.72,2.62,0.0,0.0,种植业与林业,种植业与林业,0,40.0511541762,100742904.86,1.0,,
601952,苏垦农发,13890240000.0,23.55,10.15,10.58,9.86,0.0,0.0,种植业与林业,种植业与林业,0,121.6805859771,868109261.91,1.0,,
600883,博闻科技,1489715280.0,18.74,6.47,6.51,6.33,2.0,0.0,种植业与林业,种植业与林业,1,0.2120377771,95081004.94,0.0,,
600371,万向德农,2220667020.0,27.11,7.66,7.74,7.51,1.0,0.0,种植业与林业,种植业与林业,0,3.1929896877,79680972.67,0.0,,
600540,新赛股份,2255742605.0,151.87,3.94,3.94,3.83,4.0,1.0,种植业与林业,种植业与林业,0,9.7163520665,6255378.53,0.0,,
000998,隆平高科,14202545897.0,63.9,10.32,10.53,10.21,3.0,0.0,种植业与林业,种植业与林业,0,92.2321674753,373548653.47,0.0,,
002041,登海种业,8087200000.0,76.68,8.9,9.04,8.8,1.0,0.0,种植业与林业,种植业与林业,0,15.5197504278,299202145.46,0.0,,
002772,众兴菌业,2584682637.0,44.42,6.54,6.56,6.43,5.0,1.0,种植业与林业,种植业与林业,0,19.3107765925,159555672.2,0.0,,
000663,永安林业,1632585375.0,-43.71,5.47,5.52,5.32,5.0,0.0,种植业与林业,种植业与林业,0,6.9316204478,268607638.78,0.0,,
000592,平潭发展,3523770106.0,81.57,1.83,1.9,1.8,5.0,0.0,种植业与林业,种植业与林业,1,12.3316187886,-140148983.39,0.0,,
002679,福建金森,1796460720.0,-23.84,7.57,7.66,7.51,4.0,0.0,种植业与林业,种植业与林业,1,1.4765007815,10167478.67,0.0,,
600265,景谷林业,1895080000.0,-115.61,14.2,14.49,14.07,1.0,0.0,种植业与林业,种植业与林业,0,5.8973544999,28557686.67,0.0,,
002299,圣农发展,17518543949.0,85.83,12.76,13.03,12.64,1.0,0.0,养殖业,养殖业,0,184.8673869446,622734844.32,0.0,,
002234,民和股份,2691579146.0,-8.39,8.31,8.44,8.2,1.0,0.0,养殖业,养殖业,1,20.7446625583,-393825017.89,0.0,,
002458,益生股份,6994433751.0,28.24,8.88,8.98,8.72,2.0,0.0,养殖业,养殖业,0,32.2467692889,547689367.96,0.0,,
603717,天域生物,1694454042.0,136.02,5.83,5.93,5.7,6.0,0.0,养殖业,养殖业,1,6.7045436338,-235708115.3,0.0,,
002714,牧原股份,161841163901.0,139.95,41.8,42.35,41.23,0.0,0.0,养殖业,养殖业,0,1108.607277144,14933400591.58,0.0,1.0,127045.0
600097,开创国际,2035913924.0,-39.22,8.3,8.35,8.21,6.0,3.0,养殖业,养殖业,0,20.1455381925,162985011.6,0.0,,
002746,仙坛股份,4229670313.0,83.37,5.75,5.79,5.64,2.0,0.0,养殖业,养殖业,0,57.8123256122,246789350.81,0.0,,
603477,巨星农牧,9925964885.0,-110.67,18.77,19.47,18.03,6.0,0.0,养殖业,养殖业,0,40.4071336073,161377481.56,1.0,1.0,113648.0
605296,神农集团,1959361302.0,60.09,28.33,29.12,27.9,5.0,0.0,养殖业,养殖业,0,38.912786252,255381351.78,0.0,,
000735,罗 牛 山,6398990195.0,11.66,5.52,5.6,5.43,3.0,0.0,养殖业,养殖业,0,41.0030726679,114449473.9,0.0,,
002688,金河生物,3069663132.0,17.47,4.19,4.25,4.09,0.0,0.0,养殖业,养殖业,0,21.7413103342,118040486.95,0.0,,
603566,普莱柯,4730671272.0,31.99,12.43,12.62,12.25,4.0,0.0,养殖业,养殖业,0,12.5269360372,174517388.93,1.0,,
000798,中水渔业,2579092420.0,18.25,6.98,7.08,6.91,3.0,0.0,养殖业,养殖业,0,40.417832875,10687401.63,0.0,,
002069,獐子岛,2073831286.0,-47.46,2.91,2.96,2.82,3.0,0.0,养殖业,养殖业,0,16.7747364498,28266268.55,0.0,,
002982,湘佳股份,1554287475.0,82.26,17.55,18.1,17.47,8.0,0.0,养殖业,养殖业,0,38.9012273857,113227213.84,0.0,1.0,127060.0
600975,新五丰,5308587088.0,-15.68,6.23,6.38,6.1,10.0,1.0,养殖业,养殖业,1,56.3194457242,-49029209.21,1.0,,
600201,生物股份,7730547659.0,31.45,6.43,6.51,6.3,0.0,0.0,养殖业,养殖业,0,15.9822546025,277097370.52,1.0,,
002157,正邦科技,17735268484.0,-108.3,2.9,2.95,2.86,3.0,0.0,养殖业,养殖业,0,69.9167773061,7776362362.18,0.0,,
600195,中牧股份,7045922994.0,56.09,6.49,6.6,6.37,1.0,0.0,养殖业,养殖业,0,54.0631259046,550511401.43,1.0,,
002321,华英农业,4014760839.0,112.31,1.8,1.82,1.76,3.0,0.0,养殖业,养殖业,1,37.0494952849,57983744.25,0.0,,
600965,福成股份,3217494753.0,52.35,4.4,4.46,4.1,5.0,0.0,养殖业,养殖业,0,10.4627851324,101761637.28,1.0,,
002868,绿康生化,2348030822.0,-13.71,14.05,14.42,13.92,26.0,8.0,养殖业,养殖业,1,5.0700485686,-122721549.87,0.0,,
001201,东瑞股份,2471885634.0,-18.55,15.57,15.94,15.43,1.0,0.0,养殖业,养殖业,0,10.3706790517,42898351.35,0.0,,
600467,好当家,2746669292.0,50.89,1.79,1.81,1.77,2.0,0.0,养殖业,养殖业,1,15.6380450983,58238248.2,1.0,,
600257,大湖股份,2314750874.0,-83.97,4.67,4.72,4.62,13.0,4.0,养殖业,养殖业,0,11.9345461946,12198116.25,1.0,,
000048,京基智农,7900912675.0,17.01,14.34,14.63,13.99,0.0,0.0,养殖业,养殖业,0,124.170062324,1757565419.64,0.0,,
603718,海利生物,4462920000.0,150.72,6.22,6.34,6.14,5.0,0.0,养殖业,养殖业,1,2.4072298159,110690931.57,1.0,,
002891,中宠股份,7170501685.0,25.17,26.39,27.0,26.11,0.0,0.0,农产品加工,农产品加工,0,37.4720210857,291993895.24,0.0,1.0,127076.0
002286,保龄宝,2827371380.0,20.4,6.91,7.0,6.83,4.0,0.0,农产品加工,农产品加工,0,25.2391400774,133168839.1,0.0,,
600737,中粮糖业,21965971302.0,12.73,10.41,10.49,10.17,1.0,0.0,农产品加工,农产品加工,0,331.1389463603,2123663363.04,1.0,,
003030,祖名股份,1203635853.0,-122.49,14.16,14.31,13.98,5.0,0.0,农产品加工,农产品加工,0,14.7838174334,37882686.14,0.0,,
002481,双塔食品,5344769428.0,54.72,4.62,4.67,4.55,6.0,0.0,农产品加工,农产品加工,0,24.5594132895,91708685.25,0.0,,
000911,广农糖业,2294493034.0,94.13,7.09,7.2,7.02,6.0,0.0,农产品加工,农产品加工,0,33.6543069229,16111572.51,0.0,,
001338,永顺泰,2475162506.0,15.71,10.03,10.17,9.9,16.0,11.0,农产品加工,农产品加工,0,48.4021586809,173565679.83,0.0,,
000930,中粮科技,10394895246.0,84.7,5.72,5.85,5.68,2.0,1.0,农产品加工,农产品加工,0,203.7895009178,1060938997.15,0.0,,
600191,华资实业,2759263080.0,190.76,5.4,5.51,5.37,9.0,1.0,农产品加工,农产品加工,0,6.3735413428,18875043.73,0.0,,
600251,冠农股份,6037240140.0,9.98,7.52,7.58,7.37,1.0,0.0,农产品加工,农产品加工,0,43.4274531841,851885856.37,1.0,,
603336,宏辉果蔬,2178873683.0,86.82,3.91,4.06,3.75,8.0,3.0,农产品加工,农产品加工,0,10.8579326642,46246566.79,0.0,1.0,113565.0
000972,中基健康,2128742678.0,90.19,2.64,2.67,2.6,9.0,5.0,农产品加工,农产品加工,0,5.7577944991,109147374.71,0.0,,
002311,海大集团,74929835126.0,17.64,42.01,42.76,41.68,0.0,0.0,农产品加工,农产品加工,0,1161.1716874297,3164445838.92,0.0,,
002696,百洋股份,1579597771.0,-32.22,4.51,4.56,4.41,3.0,1.0,农产品加工,农产品加工,0,27.2021572575,67593819.9,0.0,,
001313,粤海饲料,1609518967.0,-53.84,7.31,7.54,7.16,6.0,1.0,农产品加工,农产品加工,0,68.7236622732,115339563.63,0.0,,
603668,天马科技,6329430337.0,56.44,12.09,12.13,11.81,2.0,0.0,农产品加工,农产品加工,0,69.9772494338,174679070.17,1.0,,
002100,天康生物,9051617544.0,16.36,6.49,6.58,6.41,0.0,0.0,农产品加工,农产品加工,0,190.2580628659,214145170.77,0.0,,
000876,新 希 望,44254769701.0,-18.31,9.44,9.7,9.3,0.0,0.0,农产品加工,农产品加工,1,1417.0324893132,-955424363.87,0.0,1.0,127049.0
002567,唐人神,7601341321.0,816.99,5.09,5.17,5.05,0.0,0.0,农产品加工,农产品加工,0,269.4904286328,142601599.42,0.0,,
603609,禾丰股份,6785423333.0,-99.63,7.18,7.25,7.07,0.0,0.0,农产品加工,农产品加工,0,359.7026190941,537083277.74,1.0,1.0,113647.0
603151,邦基科技,826911360.0,36.68,9.98,10.03,9.78,6.0,0.0,农产品加工,农产品加工,0,16.4662091975,119707399.05,0.0,,
001366,播恩集团,621388800.0,-221.87,11.0,11.09,10.68,24.0,12.0,农产品加工,农产品加工,0,14.3554985438,77419379.61,0.0,,
002385,大北农,14675172511.0,-61.43,4.33,4.4,4.29,3.0,0.0,农产品加工,农产品加工,0,333.9012986504,314272237.79,0.0,,
002548,金新农,3201796538.0,-38.35,4.03,4.09,3.93,4.0,1.0,农产品加工,农产品加工,1,40.4038775783,-15171804.27,0.0,,
000702,正虹科技,1485154588.0,-86.03,6.82,6.82,6.13,14.0,4.0,农产品加工,农产品加工,1,12.4116900964,-124549474.29,0.0,,
000019,深粮控股,2692920153.0,28.9,6.49,6.53,6.33,1.0,0.0,农产品加工,农产品加工,0,61.9000535682,418298868.22,0.0,,
600127,金健米业,4376961547.0,354.85,7.14,7.31,7.02,4.0,0.0,农产品加工,农产品加工,0,48.6780881078,28257877.36,1.0,,
