code,name,预低
601118,海南橡胶,-0.1947954595
000713,丰乐种业,-0.4310359657
600354,敦煌种业,-1.7007055283
002556,辉隆股份,-0.6457163095
600313,农发种业,-0.661229372
600598,北大荒,0.0024545789
600359,新农开发,-0.4705663919
600108,亚盛集团,-0.1090740561
601952,苏垦农发,-0.1904962957
600883,博闻科技,-0.7061641812
600371,万向德农,-1.3691627979
600540,新赛股份,-0.2691984177
000998,隆平高科,-0.5616562963
002041,登海种业,-0.3340064287
002772,众兴菌业,-0.3053995371
000663,永安林业,-0.7736026049
000592,平潭发展,0.1456340551
002679,福建金森,-0.6203355789
600265,景谷林业,
002299,圣农发展,-0.6002220511
002234,民和股份,-0.9341032505
002458,益生股份,-0.6342279911
603717,天域生物,-0.9035716057
002714,牧原股份,-1.4831206799
600097,开创国际,-0.9404240847
002746,仙坛股份,-0.6156567335
603477,巨星农牧,-1.0969624519
605296,神农集团,-0.9134551883
000735,罗 牛 山,-0.8802245855
002688,金河生物,-1.2898350954
603566,普莱柯,-0.8059157729
000798,中水渔业,-1.2466921806
002069,獐子岛,-0.816922307
002982,湘佳股份,-0.9117606878
600975,新五丰,-1.0658288002
600201,生物股份,-0.8064592481
002157,正邦科技,-0.640799284
600195,中牧股份,-0.598679781
002321,华英农业,-0.4065211713
600965,福成股份,-1.1908475161
002868,绿康生化,-1.5023533106
001201,东瑞股份,-0.6512790322
600467,好当家,-1.782341361
600257,大湖股份,-0.9380909204
000048,京基智农,-0.625153482
603718,海利生物,-1.201993227
002891,中宠股份,0.4483718872
002286,保龄宝,-0.734057188
600737,中粮糖业,-0.7307543755
003030,祖名股份,-0.3858361542
002481,双塔食品,0.1528075337
000911,广农糖业,-0.6730495691
001338,永顺泰,-0.7389250994
000930,中粮科技,-0.5116468072
600191,华资实业,-1.2430927753
600251,冠农股份,-0.2818469703
603336,宏辉果蔬,-0.7618358135
000972,中基健康,-0.378964901
002311,海大集团,-1.2351632118
002696,百洋股份,-0.5679568648
001313,粤海饲料,0.0910844207
603668,天马科技,-0.6490373611
002100,天康生物,-0.7355993986
000876,新 希 望,-0.9432480931
002567,唐人神,-0.5518814921
603609,禾丰股份,-0.2385859787
603151,邦基科技,-1.2511816025
001366,播恩集团,-0.3414419293
002385,大北农,-0.9061424136
002548,金新农,-0.2536901236
000702,正虹科技,-3.7139787674
000019,深粮控股,-0.3884288371
600127,金健米业,-0.7246728539
002852,道道全,-0.6016384363
000505,京粮控股,-1.0730788708
600811,东方集团,-1.7324371338
603182,嘉华股份,-0.0731518269
000638,万方发展,-0.7380504608
601011,宝泰隆,-0.7310575843
600408,安泰集团,-0.6907163858
600740,山西焦化,-0.7323194742
000723,美锦能源,-1.0258727074
600792,云煤能源,-0.9922663569
601015,陕西黑猫,-1.0982778072
601088,中国神华,-0.8266786933
600925,苏能股份,-0.3973241746
601225,陕西煤业,-0.3218548894
002128,电投能源,-0.6111363173
600188,兖矿能源,-0.4438548386
000552,甘肃能化,-0.6103026271
600758,辽宁能源,-0.151899159
600121,郑州煤电,-0.9111708999
600508,上海能源,-0.2966521978
600123,兰花科创,-1.0258750916
600395,盘江股份,-0.4000598192
601898,中煤能源,-1.7048492432
601001,晋控煤业,-1.3088542223
000937,冀中能源,-0.3056290746
600726,华电能源,-0.767464757
601918,新集能源,-0.9974963665
600348,华阳股份,-0.7892327309
000983,山西焦煤,-0.5663089156
600985,淮北矿业,-0.5381907225
600546,山煤国际,-0.9585295916
601101,昊华能源,-0.3271485865
601666,平煤股份,-1.2290666103
601699,潞安环能,-0.5071960688
600971,恒源煤电,-0.6896789074
600403,大有能源,-0.4822220802
600997,开滦股份,-0.4084964395
600397,安源煤业,-0.6488673091
000571,新大洲A,-1.1585505009
603113,金能科技,-0.5524537563
600256,广汇能源,-1.1785899401
603393,新天然气,-1.1656475067
600759,洲际油气,-0.4658291638
600871,石化油服,-0.7190235853
600968,海油发展,-0.5291339755
600339,中油工程,-0.712634325
600583,海油工程,-0.510130167
000968,蓝焰控股,-0.2462762743
002554,惠博普,-0.5870081782
600938,中国海油,-0.4011901021
002207,准油股份,-0.8031013012
002828,贝肯能源,-0.6836224794
603727,博迈科,-0.7171849012
603619,XD中曼石,-0.6182412505
601808,中海油服,-0.3825023174
002629,仁智股份,-0.9675754309
600955,维远股份,-0.3929938376
600746,江苏索普,0.0796865225
600989,宝丰能源,-0.3285575509
600623,华谊集团,-0.5592186451
000691,亚太实业,-1.6899456978
000830,鲁西化工,0.0077854097
000990,诚志股份,-0.582903266
002469,三维化学,-0.4797338247
603227,雪峰科技,-0.7296594381
603276,恒兴新材,-0.5093465447
002109,兴化股份,-1.0695420504
002274,华昌化工,-0.5531557798
600423,柳化股份,-0.4240662456
603938,三孚股份,-0.4047504663
600722,金牛化工,-1.0013394356
600610,中毅达,-0.779722929
600844,丹化科技,-0.3864861131
001217,华尔泰,-0.4866807759
600319,亚星化学,-0.9628366232
000818,航锦科技,-0.8829692602
603213,镇洋发展,-0.2965301275
601568,北元集团,-0.3988311291
600618,氯碱化工,-0.148127079
600935,华塑股份,-0.5154656172
601678,滨化股份,-0.4671803415
002386,天原股份,-1.4488831758
600075,新疆天业,0.1042646766
000635,英 力 特,-0.2990091145
601216,君正集团,-0.4289045036
000510,新金路,-3.2508993149
002053,云南能投,-0.6035709381
603299,苏盐井神,-0.0522069335
601065,江盐集团,-0.4334901571
603067,振华股份,-0.6973056793
003017,大洋生物,-0.9721740484
600929,雪天盐业,-0.3089647293
600328,中盐化工,-0.9947850704
600714,金瑞矿业,0.4637460113
600367,红星发展,0.1262232661
600409,三友化工,-0.3507682681
000707,双环科技,-0.194765836
000683,远兴能源,-0.0780617297
000822,山东海化,-0.2104354203
002601,龙佰集团,-0.4531984925
002136,安 纳 达,-0.3979862928
002145,中核钛白,-0.5502942801
000545,金浦钛业,-0.9989709854
600586,金晶科技,-0.9443155527
002211,宏达新材,-3.0349459648
603281,江瀚新材,-0.79298985
002909,集泰股份,-0.7114229202
605399,晨光新材,-1.4618185759
600596,新安股份,-1.4990930557
603260,合盛硅业,-1.8682626486
603155,新亚强,-0.9607442617
605366,宏柏新材,-0.7098022103
603188,亚邦股份,9.0268354416
600352,浙江龙盛,-0.279733181
002440,闰土股份,-0.8218928576
603980,吉华集团,-0.4079938531
605566,福莱蒽特,0.0282734036
002054,德美化工,-0.7530201077
603172,万丰股份,-0.6886122227
603790,雅运股份,-0.4920492172
603360,百傲化学,-1.1084671021
002734,利民股份,-0.7061448097
600486,扬农化工,-0.951452136
002215,诺 普 信,-0.4702247679
002749,国光股份,-1.196349144
600731,湖南海利,-0.4257425368
603639,海利尔,-0.4661028683
603086,先达股份,-0.1341072321
002258,利尔化学,-0.5710701942
002391,长青股份,-0.390311718
003042,中农联合,-1.1202300787
002250,联化科技,-0.488232553
600389,江山股份,-0.9166991115
603599,广信股份,-0.7296391726
603810,丰山集团,-0.7359046936
603585,苏利股份,-0.4567397535
000553,安道麦A,-1.2742809057
603970,中农立华,-0.7484374046
001231,农心科技,-0.3782581091
605033,美邦股份,-0.4460465908
002513,蓝丰生化,-3.8066239357
002942,新农股份,-0.7119567394
002496,辉丰股份,-0.8014012575
003002,壶化股份,-1.9230071306
002683,广东宏大,-1.9265716076
002096,易普力,-1.4926630259
002360,同德化工,-0.6146848202
603977,国泰集团,-2.6285042763
002783,凯龙股份,-0.5325947404
002226,江南化工,-0.3155034184
002917,金奥博,-0.7537411451
002246,北化股份,-1.8331967592
002037,保利联合,-2.6269106865
002827,高争民爆,-2.163531065
000902,新洋丰,-1.1635183096
002588,史丹利,-0.9959951639
002539,云图控股,-0.4360432625
002538,司尔特,-0.8189620972
002999,天禾股份,-0.6572196484
002170,芭田股份,-0.7735805511
002470,金正大,-0.3753839731
002312,川发龙蟒,-2.9871377945
600096,云天化,-0.6148878336
603077,和邦生物,-0.6663738489
